brands,models,body,variant,fuel,transmission,city,price,mileage,engine_power
Tata,Tiago,Hatchback5,XZ,Petrol,Manual, Pune,8.34,19.80 Km/l,1199 cc
Tata,Tigor,Compact,XZ CNG,CNG,Manual, Pune,9.67,20.03 Km/l,1199 cc
Mahindra,XUV700,SUV5,2.0 AX5 AT 7 STR Select,Petrol,Automatic, Ahmedabad,21.19,12.00 Km/l,1997 cc
Mahindra,Scorpio-N,SUV6,2.2 Z4 Diesel (E),Diesel,Manual, Ahmedabad,18.83,12.17 Km/l,1997 cc
Mahindra,XUV400,SUV5,EL Pro 34.5 kWh,Electric,Automatic, Ahmedabad,19.03,375.00 Km/full charge,34500 watt
Mahindra,Thar,SUV4,1.5 LX Hard Top Diesel,Diesel,Manual, Ahmedabad,14.66,10.00 Km/l,1497 cc
Mahindra,Thar Roxx,SUV5,2.2 AX5L AT 4WD Diesel,Diesel,Automatic, Ahmedabad,24.01,12.00 Km/l,1997 cc
Mahindra,XUV 3XO,SUV5,1.2 MX3,Petrol,Manual, Ahmedabad,10.77,21.20 Km/l,1497 cc
Mahindra,Marazzo,MPV,M2,Diesel,Manual, Ahmedabad,16.63,17.33 Km/l,1497 cc
Mahindra,Bolero,SUV7,B4,Diesel,Manual, Ahmedabad,11.11,16.70 Km/l,1493 cc
Mahindra,Bolero Neo,SUV7,1.5 N4,Diesel,Manual, Ahmedabad,11.28,17.29 Km/l,1493 cc
Mahindra,Scorpio Classic,SUV7,2.2 S11 7SF/7CC,Diesel,Manual, Ahmedabad,19.98,14.44 Km/l,2184 cc
Mahindra,Bolero Neo Plus,SUV9,P4,Diesel,Manual, Ahmedabad,12.7,14.00 Km/l,2184 cc
Mahindra,XUV300,SUV2,1.2 W8,Petrol,Manual, Ahmedabad,12.64,17.00 Km/l,1197 cc
Mahindra,Marazzo,MPV,M2,Diesel,Manual, Bangalore,18.21,17.33 Km/l,1497 cc
Mahindra,Scorpio-N,SUV7,2.0 Z2 Petrol,Petrol,Manual, Bangalore,17.65,12.17 Km/l,1997 cc
Mahindra,Bolero,SUV7,B4,Diesel,Manual, Bangalore,11.87,16.70 Km/l,1493 cc
Mahindra,Scorpio Classic,SUV7,2.2 S 7STR,Diesel,Manual, Bangalore,17.19,14.44 Km/l,2184 cc
Mahindra,XUV400,SUV5,EL Pro 39.4 kWh,Electric,Automatic, Bangalore,18.6,375.00 Km/full charge,34500 watt
Mahindra,XUV700,SUV7,2.0 MX (E),Petrol,Manual, Bangalore,18.26,12.00 Km/l,1997 cc
Mahindra,XUV 3XO,SUV5,1.5 MX3 AMT,Diesel,Automatic, Bangalore,14.84,21.20 Km/l,1497 cc
Mahindra,Thar Roxx,SUV5,2.0 MX1,Petrol,Manual, Bangalore,16.39,12.00 Km/l,1997 cc
Mahindra,Thar,SUV4,2.2 LX AWD Convertible Top Diesel,Diesel,Manual, Bangalore,20,10.00 Km/l,1497 cc
Mahindra,Bolero Neo,SUV7,1.5 N4,Diesel,Manual, Bangalore,12.05,17.29 Km/l,1493 cc
Mahindra,Bolero Neo Plus,SUV9,P4,Diesel,Manual, Bangalore,14.67,14.00 Km/l,2184 cc
Mahindra,XUV300,SUV2,1.2 W8,Petrol,Manual, Bangalore,14.4,17.00 Km/l,1197 cc
Mahindra,XUV700,SUV7,2.0 AX3,Petrol,Manual, Chennai,20.75,12.00 Km/l,1997 cc
Mahindra,Marazzo,MPV,M2,Diesel,Manual, Chennai,18.34,17.33 Km/l,1497 cc
Mahindra,Scorpio-N,SUV7,2.0 Z2 Petrol,Petrol,Manual, Chennai,17.78,12.17 Km/l,1997 cc
Mahindra,Bolero,SUV7,B4,Diesel,Manual, Chennai,11.81,16.70 Km/l,1493 cc
Mahindra,Scorpio Classic,SUV7,2.2 S 7STR,Diesel,Manual, Chennai,17.3,14.44 Km/l,2184 cc
Mahindra,XUV400,SUV5,EC Pro 34.5 kWh,Electric,Automatic, Chennai,16.81,375.00 Km/full charge,34500 watt
Mahindra,Thar,SUV4,1.5 AX(O) Hard Top Diesel,Diesel,Manual, Chennai,14.68,10.00 Km/l,1497 cc
Mahindra,XUV 3XO,SUV5,1.2 AX7 TGDi,Petrol,Manual, Chennai,15.81,21.20 Km/l,1497 cc
Mahindra,Bolero Neo,SUV7,1.5 N4,Diesel,Manual, Chennai,11.98,17.29 Km/l,1493 cc
Mahindra,Thar Roxx,SUV5,2.0 MX1,Petrol,Manual, Chennai,16.53,12.00 Km/l,1997 cc
Mahindra,Bolero Neo Plus,SUV9,P4,Diesel,Manual, Chennai,14.58,14.00 Km/l,2184 cc
Mahindra,XUV300,SUV2,1.2 W8,Petrol,Manual, Chennai,14.23,17.00 Km/l,1197 cc
Mahindra,Marazzo,MPV,M2,Diesel,Manual, Delhi,17.67,17.33 Km/l,1497 cc
Mahindra,Scorpio-N,SUV7,2.0 Z4 AT Petrol,Petrol,Automatic, Delhi,20.61,12.17 Km/l,1997 cc
Mahindra,XUV700,SUV7,2.2 MX Diesel,Diesel,Manual, Delhi,18.3,12.00 Km/l,1997 cc
Mahindra,Scorpio Classic,SUV7,2.2 S11 7SF/7CC,Diesel,Manual, Delhi,21.33,14.44 Km/l,2184 cc
Mahindra,XUV400,SUV5,EL Pro 39.4 kWh,Electric,Automatic, Delhi,20.7,375.00 Km/full charge,34500 watt
Mahindra,XUV 3XO,SUV5,1.5 MX2,Diesel,Manual, Delhi,11.88,21.20 Km/l,1497 cc
Mahindra,Bolero,SUV7,B4,Diesel,Manual, Delhi,11.63,16.70 Km/l,1493 cc
Mahindra,Thar,SUV4,1.5 AX(O) Hard Top Diesel,Diesel,Manual, Delhi,14.41,10.00 Km/l,1497 cc
Mahindra,Bolero Neo,SUV7,1.5 N4,Diesel,Manual, Delhi,11.91,17.29 Km/l,1493 cc
Mahindra,Thar Roxx,SUV5,2.0 MX1,Petrol,Manual, Delhi,16.27,12.00 Km/l,1997 cc
Mahindra,Bolero Neo Plus,SUV9,P4,Diesel,Manual, Delhi,13.9,14.00 Km/l,2184 cc
Mahindra,XUV300,SUV2,1.2 W8,Petrol,Manual, Delhi,13.19,17.00 Km/l,1197 cc
Mahindra,Thar,SUV4,1.5 AX(O) Hard Top Diesel,Diesel,Manual, Faridabad,13.84,10.00 Km/l,1497 cc
Mahindra,Scorpio Classic,SUV7,2.2 S11 7SF/7CC,Diesel,Manual, Faridabad,20.49,14.44 Km/l,2184 cc
Mahindra,Marazzo,MPV,M2,Diesel,Manual, Faridabad,17.15,17.33 Km/l,1497 cc
Mahindra,XUV400,SUV5,EL Pro 34.5 kWh,Electric,Automatic, Faridabad,18.3,375.00 Km/full charge,34500 watt
Mahindra,XUV700,SUV7,2.0 AX5 AT 7 STR Select,Petrol,Automatic, Faridabad,22.02,12.00 Km/l,1997 cc
Mahindra,Scorpio-N,SUV7,2.2 Z4 Diesel,Diesel,Manual, Faridabad,19.13,12.17 Km/l,1997 cc
Mahindra,XUV 3XO,SUV5,1.2 MX3,Petrol,Manual, Faridabad,11.56,21.20 Km/l,1497 cc
Mahindra,Bolero Neo,SUV7,1.5 N4,Diesel,Manual, Faridabad,11.67,17.29 Km/l,1493 cc
Mahindra,Thar Roxx,SUV5,2.0 MX1,Petrol,Manual, Faridabad,15.81,12.00 Km/l,1997 cc
Mahindra,Bolero,SUV7,B4,Diesel,Manual, Faridabad,11.45,16.70 Km/l,1493 cc
Mahindra,Bolero Neo Plus,SUV9,P4,Diesel,Manual, Faridabad,13.49,14.00 Km/l,2184 cc
Mahindra,XUV300,SUV2,1.2 W8,Petrol,Manual, Faridabad,11.33,17.00 Km/l,1197 cc
Mahindra,Thar,SUV4,1.5 AX(O) Hard Top Diesel,Diesel,Manual, Ghaziabad,13.84,10.00 Km/l,1497 cc
Mahindra,Scorpio Classic,SUV7,2.2 S 7STR,Diesel,Manual, Ghaziabad,16.64,14.44 Km/l,2184 cc
Mahindra,Marazzo,MPV,M2,Diesel,Manual, Ghaziabad,17.36,17.33 Km/l,1497 cc
Mahindra,XUV400,SUV5,EL Pro 34.5 kWh,Electric,Automatic, Ghaziabad,19.66,375.00 Km/full charge,34500 watt
Mahindra,XUV700,SUV7,2.0 MX,Petrol,Manual, Ghaziabad,17.28,12.00 Km/l,1997 cc
Mahindra,Scorpio-N,SUV7,2.0 Z2 Petrol,Petrol,Manual, Ghaziabad,16.95,12.17 Km/l,1997 cc
Mahindra,XUV 3XO,SUV5,1.5 MX3,Diesel,Manual, Ghaziabad,13.07,21.20 Km/l,1497 cc
Mahindra,Bolero Neo,SUV7,1.5 N4,Diesel,Manual, Ghaziabad,11.88,17.29 Km/l,1493 cc
Mahindra,Thar Roxx,SUV5,2.0 MX1,Petrol,Manual, Ghaziabad,16.32,12.00 Km/l,1997 cc
Mahindra,Bolero,SUV7,B4,Diesel,Manual, Ghaziabad,11.42,16.70 Km/l,1493 cc
Mahindra,Bolero Neo Plus,SUV9,P4,Diesel,Manual, Ghaziabad,13.66,14.00 Km/l,2184 cc
Mahindra,XUV300,SUV2,1.2 W8,Petrol,Manual, Ghaziabad,11.31,17.00 Km/l,1197 cc
Mahindra,Bolero Neo,SUV7,1.5 N4,Diesel,Manual, Gurgaon,11.67,17.29 Km/l,1493 cc
Mahindra,XUV700,SUV7,2.0 AX5 AT 7 STR Select,Petrol,Automatic, Gurgaon,22.02,12.00 Km/l,1997 cc
Mahindra,XUV 3XO,SUV5,1.2 MX3,Petrol,Manual, Gurgaon,11.56,21.20 Km/l,1497 cc
Mahindra,Scorpio-N,SUV7,2.2 Z4 Diesel,Diesel,Manual, Gurgaon,19.13,12.17 Km/l,1997 cc
Mahindra,Scorpio Classic,SUV7,2.2 S11 7SF/7CC,Diesel,Manual, Gurgaon,20.49,14.44 Km/l,2184 cc
Mahindra,XUV400,SUV5,EL Pro 34.5 kWh,Electric,Automatic, Gurgaon,18.3,375.00 Km/full charge,34500 watt
Mahindra,Marazzo,MPV,M2,Diesel,Manual, Gurgaon,17.15,17.33 Km/l,1497 cc
Mahindra,Thar,SUV4,1.5 AX(O) Hard Top Diesel,Diesel,Manual, Gurgaon,13.84,10.00 Km/l,1497 cc
Mahindra,Thar Roxx,SUV5,2.0 MX1,Petrol,Manual, Gurgaon,15.81,12.00 Km/l,1997 cc
Mahindra,Bolero,SUV7,B4,Diesel,Manual, Gurgaon,11.45,16.70 Km/l,1493 cc
Mahindra,Bolero Neo Plus,SUV9,P4,Diesel,Manual, Gurgaon,13.49,14.00 Km/l,2184 cc
Mahindra,XUV300,SUV2,1.2 W8,Petrol,Manual, Gurgaon,11.33,17.00 Km/l,1197 cc
Mahindra,Marazzo,MPV,M2,Diesel,Manual, Hyderabad,18.17,17.33 Km/l,1497 cc
Mahindra,Bolero,SUV7,B4,Diesel,Manual, Hyderabad,11.89,16.70 Km/l,1493 cc
Mahindra,Scorpio-N,SUV7,2.2 Z2 Diesel,Diesel,Manual, Hyderabad,18.12,12.17 Km/l,1997 cc
Mahindra,XUV700,SUV7,2.2 AX5 Diesel,Diesel,Manual, Hyderabad,22.9,12.00 Km/l,1997 cc
Mahindra,Scorpio Classic,SUV7,2.2 S 7STR,Diesel,Manual, Hyderabad,17.16,14.44 Km/l,2184 cc
Mahindra,XUV400,SUV5,EL Pro 34.5 kWh,Electric,Automatic, Hyderabad,18.11,375.00 Km/full charge,34500 watt
Mahindra,XUV 3XO,SUV5,1.5 MX3,Diesel,Manual, Hyderabad,13.74,21.20 Km/l,1497 cc
Mahindra,Thar,SUV4,2.0 LX AWD Convertible Top AT,Petrol,Automatic, Hyderabad,20.88,10.00 Km/l,1497 cc
Mahindra,Bolero Neo,SUV7,1.5 N4,Diesel,Manual, Hyderabad,12.07,17.29 Km/l,1493 cc
Mahindra,Thar Roxx,SUV5,2.0 MX1,Petrol,Manual, Hyderabad,16.38,12.00 Km/l,1997 cc
Mahindra,Bolero Neo Plus,SUV9,P4,Diesel,Manual, Hyderabad,14.77,14.00 Km/l,2184 cc
Mahindra,XUV300,SUV2,1.2 W8,Petrol,Manual, Hyderabad,13.63,17.00 Km/l,1197 cc
Mahindra,XUV700,SUV5,2.0 AX5 AT 7 STR Select,Petrol,Automatic, Jaipur,22.19,12.00 Km/l,1997 cc
Mahindra,Scorpio-N,SUV6,2.2 Z4 Diesel (E),Diesel,Manual, Jaipur,20.09,12.17 Km/l,1997 cc
Mahindra,XUV400,SUV5,EL Pro 34.5 kWh,Electric,Automatic, Jaipur,18.14,375.00 Km/full charge,34500 watt
Mahindra,Thar,SUV4,1.5 LX Hard Top Diesel,Diesel,Manual, Jaipur,15.69,10.00 Km/l,1497 cc
Mahindra,Thar Roxx,SUV5,2.2 AX5L AT 4WD Diesel,Diesel,Automatic, Jaipur,25.62,12.00 Km/l,1997 cc
Mahindra,XUV 3XO,SUV5,1.2 MX3,Petrol,Manual, Jaipur,11.48,21.20 Km/l,1497 cc
Mahindra,Marazzo,MPV,M2,Diesel,Manual, Jaipur,17.79,17.33 Km/l,1497 cc
Mahindra,Bolero,SUV7,B4,Diesel,Manual, Jaipur,11.92,16.70 Km/l,1493 cc
Mahindra,Bolero Neo,SUV7,1.5 N4,Diesel,Manual, Jaipur,12.1,17.29 Km/l,1493 cc
Mahindra,Scorpio Classic,SUV7,2.2 S11 7SF/7CC,Diesel,Manual, Jaipur,21.32,14.44 Km/l,2184 cc
Mahindra,Bolero Neo Plus,SUV9,P4,Diesel,Manual, Jaipur,13.64,14.00 Km/l,2184 cc
Mahindra,XUV300,SUV2,1.2 W8,Petrol,Manual, Jaipur,13.12,17.00 Km/l,1197 cc
Mahindra,Marazzo,MPV,M2,Diesel,Manual, Mumbai,17.74,17.33 Km/l,1497 cc
Mahindra,XUV700,SUV7,2.0 AX5 7 STR Select,Petrol,Manual, Mumbai,20.36,12.00 Km/l,1997 cc
Mahindra,Scorpio-N,SUV7,2.2 Z2 Diesel,Diesel,Manual, Mumbai,17.69,12.17 Km/l,1997 cc
Mahindra,Bolero,SUV7,B4,Diesel,Manual, Mumbai,11.78,16.70 Km/l,1493 cc
Mahindra,Scorpio Classic,SUV7,2.2 S 7STR,Diesel,Manual, Mumbai,16.76,14.44 Km/l,2184 cc
Mahindra,XUV400,SUV5,EL Pro 39.4 kWh,Electric,Automatic, Mumbai,18.93,375.00 Km/full charge,34500 watt
Mahindra,XUV 3XO,SUV5,1.5 MX3 Pro,Diesel,Manual, Mumbai,13.9,21.20 Km/l,1497 cc
Mahindra,Thar Roxx,SUV5,2.0 MX1,Petrol,Manual, Mumbai,15.75,12.00 Km/l,1997 cc
Mahindra,Bolero Neo,SUV7,1.5 N4,Diesel,Manual, Mumbai,11.96,17.29 Km/l,1493 cc
Mahindra,Thar,SUV4,1.5 LX Hard Top Diesel,Diesel,Manual, Mumbai,15.82,10.00 Km/l,1497 cc
Mahindra,Bolero Neo Plus,SUV9,P4,Diesel,Manual, Mumbai,14.36,14.00 Km/l,2184 cc
Mahindra,XUV300,SUV2,1.2 W8,Petrol,Manual, Mumbai,13.62,17.00 Km/l,1197 cc
Mahindra,Thar,SUV4,1.5 AX(O) Hard Top Diesel,Diesel,Manual, Noida,13.84,10.00 Km/l,1497 cc
Mahindra,Scorpio Classic,SUV7,2.2 S 7STR,Diesel,Manual, Noida,16.64,14.44 Km/l,2184 cc
Mahindra,Marazzo,MPV,M2,Diesel,Manual, Noida,17.36,17.33 Km/l,1497 cc
Mahindra,XUV400,SUV5,EL Pro 34.5 kWh,Electric,Automatic, Noida,19.66,375.00 Km/full charge,34500 watt
Mahindra,XUV700,SUV7,2.0 MX,Petrol,Manual, Noida,17.28,12.00 Km/l,1997 cc
Mahindra,Scorpio-N,SUV7,2.0 Z2 Petrol,Petrol,Manual, Noida,16.95,12.17 Km/l,1997 cc
Mahindra,XUV 3XO,SUV5,1.5 MX3,Diesel,Manual, Noida,13.07,21.20 Km/l,1497 cc
Mahindra,Bolero Neo,SUV7,1.5 N4,Diesel,Manual, Noida,11.88,17.29 Km/l,1493 cc
Mahindra,Thar Roxx,SUV5,2.0 MX1,Petrol,Manual, Noida,16.32,12.00 Km/l,1997 cc
Mahindra,Bolero,SUV7,B4,Diesel,Manual, Noida,11.42,16.70 Km/l,1493 cc
Mahindra,Bolero Neo Plus,SUV9,P4,Diesel,Manual, Noida,13.66,14.00 Km/l,2184 cc
Mahindra,XUV300,SUV2,1.2 W8,Petrol,Manual, Noida,11.31,17.00 Km/l,1197 cc
Mahindra,XUV700,SUV5,2.0 AX5 AT 7 STR Select,Petrol,Automatic, Pune,22.52,12.00 Km/l,1997 cc
Mahindra,Scorpio-N,SUV6,2.2 Z4 Diesel (E),Diesel,Manual, Pune,20.41,12.17 Km/l,1997 cc
Mahindra,XUV400,SUV5,EL Pro 34.5 kWh,Electric,Automatic, Pune,17.52,375.00 Km/full charge,34500 watt
Mahindra,Thar,SUV4,1.5 LX Hard Top Diesel,Diesel,Manual, Pune,16.11,10.00 Km/l,1497 cc
Mahindra,Thar Roxx,SUV5,2.2 AX5L AT 4WD Diesel,Diesel,Automatic, Pune,25.9,12.00 Km/l,1997 cc
Mahindra,XUV 3XO,SUV5,1.2 MX3,Petrol,Manual, Pune,11.66,21.20 Km/l,1497 cc
Mahindra,Marazzo,MPV,M2,Diesel,Manual, Pune,17.99,17.33 Km/l,1497 cc
Mahindra,Bolero,SUV7,B4,Diesel,Manual, Pune,11.98,16.70 Km/l,1493 cc
Mahindra,Bolero Neo,SUV7,1.5 N4,Diesel,Manual, Pune,12.14,17.29 Km/l,1493 cc
Mahindra,Scorpio Classic,SUV7,2.2 S11 7SF/7CC,Diesel,Manual, Pune,21.45,14.44 Km/l,2184 cc
Mahindra,Bolero Neo Plus,SUV9,P4,Diesel,Manual, Pune,13.96,14.00 Km/l,2184 cc
Mahindra,XUV300,SUV2,1.2 W8,Petrol,Manual, Pune,13.71,17.00 Km/l,1197 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Sportz,Petrol,Manual, Ahmedabad,8.48,18.00 Km/l,1197 cc
Hyundai,i20 N Line,Hatchback5,N6,Petrol,Manual, Ahmedabad,11.27,20.25 Km/l,998 cc
Hyundai,Venue,SUV5,1.2 S(O),Petrol,Manual, Ahmedabad,11.2,17.52 Km/l,1197 cc
Hyundai,Tucson,SUV5,2.0 Platinum AT Petrol,Petrol,Automatic, Ahmedabad,33.15,12.50 Km/l,1999 cc
Hyundai,Creta N Line,SUV5,N8,Petrol,Manual, Ahmedabad,19.09,18.00 Km/l,1482 cc
Hyundai,Aura,Sedan5,1.2 SX CNG,CNG,Manual, Ahmedabad,10.37,21.00 Km/l,1197 cc
Hyundai,Verna,Sedan5,1.5 SX(O) Turbo,Petrol,Manual, Ahmedabad,18.23,25.00 Km/l,1497 cc
Hyundai,Venue N-Line,SUV5,N6,Petrol,Manual, Ahmedabad,13.8,20.00 Km/l,998 cc
Hyundai,Exter,SUV5,1.2 SX(O) Connect,Petrol,Manual, Ahmedabad,10.93,19.40 Km/l,1197 cc
Hyundai,i20,Hatchback5,1.2 Sportz(O),Petrol,Manual, Ahmedabad,9.97,20.35 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 SX(O) Knight,Petrol,Manual, Ahmedabad,19.75,17.40 Km/l,1497 cc
Hyundai,Creta Electric,SUV5,Executive,Electric,Automatic, Ahmedabad,20.41,390.00 Km/full charge,42000 watt
Hyundai,Alcazar,SUV7,Executive,Petrol,Manual, Ahmedabad,16.95,18.00 Km/l,1482 cc
Hyundai,IONIQ 5,SUV5,RWD,Electric,Automatic, Ahmedabad,52.07,631.00 Km/full charge,72600 watt
Hyundai,Creta (2023-2024),SUV5,1.5 SX Executive Diesel,Diesel,Manual, Ahmedabad,17.58,17.00 Km/l,1497 cc
Hyundai,Alcazar (2021-2023),SUV6,1.5 Platinum 7 STR Diesel,Diesel,Manual, Ahmedabad,21.79,14.50 Km/l,1999 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Era,Petrol,Manual, Bangalore,7.43,18.00 Km/l,1197 cc
Hyundai,Aura,Sedan5,1.2 E CNG,CNG,Manual, Bangalore,9.33,21.00 Km/l,1197 cc
Hyundai,Venue,SUV5,1.2 E Plus,Petrol,Manual, Bangalore,10.24,17.52 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 EX,Petrol,Manual, Bangalore,15.58,17.40 Km/l,1497 cc
Hyundai,i20 N Line,Hatchback5,N6 DCT,Petrol,Automatic, Bangalore,14.11,20.25 Km/l,998 cc
Hyundai,Venue N-Line,SUV5,N8 DCT,Petrol,Automatic, Bangalore,17.56,20.00 Km/l,998 cc
Hyundai,Tucson,SUV5,2.0 Platinum AT Petrol,Petrol,Automatic, Bangalore,37.24,12.50 Km/l,1999 cc
Hyundai,Exter,SUV5,1.2 S(O) Plus,Petrol,Manual, Bangalore,9.78,19.40 Km/l,1197 cc
Hyundai,Verna,Sedan5,1.5 SX IVT,Petrol,Automatic, Bangalore,18.19,25.00 Km/l,1497 cc
Hyundai,Creta N Line,SUV5,N8 DCT,Petrol,Automatic, Bangalore,23.2,18.00 Km/l,1482 cc
Hyundai,i20,Hatchback5,1.2 Magna,Petrol,Manual, Bangalore,9.6,20.35 Km/l,1197 cc
Hyundai,Alcazar,SUV7,Signature DCT,Petrol,Automatic, Bangalore,27.08,18.00 Km/l,1482 cc
Hyundai,Creta Electric,SUV5,Executive,Electric,Automatic, Bangalore,19.43,390.00 Km/full charge,42000 watt
Hyundai,IONIQ 5,SUV5,RWD,Electric,Automatic, Bangalore,50.23,631.00 Km/full charge,72600 watt
Hyundai,Creta (2023-2024),SUV5,1.5 SX Executive Diesel,Diesel,Manual, Bangalore,19.5,17.00 Km/l,1497 cc
Hyundai,Alcazar (2021-2023),SUV6,1.5 Platinum 7 STR Diesel,Diesel,Manual, Bangalore,24.26,14.50 Km/l,1999 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Era,Petrol,Manual, Chennai,7.23,18.00 Km/l,1197 cc
Hyundai,Aura,Sedan5,1.2 E CNG,CNG,Manual, Chennai,9.07,21.00 Km/l,1197 cc
Hyundai,Venue,SUV5,1.2 E,Petrol,Manual, Chennai,9.52,17.52 Km/l,1197 cc
Hyundai,Venue N-Line,SUV5,N8 DCT,Petrol,Automatic, Chennai,17.34,20.00 Km/l,998 cc
Hyundai,i20 N Line,Hatchback5,N6 DCT,Petrol,Automatic, Chennai,13.94,20.25 Km/l,998 cc
Hyundai,Creta,SUV5,1.5 E,Petrol,Manual, Chennai,13.89,17.40 Km/l,1497 cc
Hyundai,Tucson,SUV5,2.0 Platinum AT Petrol,Petrol,Automatic, Chennai,37.05,12.50 Km/l,1999 cc
Hyundai,Exter,SUV5,1.2 EX,Petrol,Manual, Chennai,7.49,19.40 Km/l,1197 cc
Hyundai,Verna,Sedan5,1.5 S,Petrol,Manual, Chennai,15.45,25.00 Km/l,1497 cc
Hyundai,i20,Hatchback5,1.2 Sportz,Petrol,Manual, Chennai,10.08,20.35 Km/l,1197 cc
Hyundai,Creta N Line,SUV5,N10 DCT,Petrol,Automatic, Chennai,25.75,18.00 Km/l,1482 cc
Hyundai,Creta Electric,SUV5,Executive,Electric,Automatic, Chennai,19.29,390.00 Km/full charge,42000 watt
Hyundai,Alcazar,SUV6,Signature DCT 6 STR,Petrol,Automatic, Chennai,27.18,18.00 Km/l,1482 cc
Hyundai,IONIQ 5,SUV5,RWD,Electric,Automatic, Chennai,48.35,631.00 Km/full charge,72600 watt
Hyundai,Creta (2023-2024),SUV5,1.5 SX Executive Diesel,Diesel,Manual, Chennai,18.82,17.00 Km/l,1497 cc
Hyundai,Alcazar (2021-2023),SUV6,1.5 Platinum 7 STR Diesel,Diesel,Manual, Chennai,24.11,14.50 Km/l,1999 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Era,Petrol,Manual, Delhi,6.74,18.00 Km/l,1197 cc
Hyundai,Aura,Sedan5,1.2 E CNG,CNG,Manual, Delhi,8.65,21.00 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 E,Petrol,Manual, Delhi,13.03,17.40 Km/l,1497 cc
Hyundai,i20 N Line,Hatchback5,N6,Petrol,Manual, Delhi,11.3,20.25 Km/l,998 cc
Hyundai,Venue,SUV5,1.2 S,Petrol,Manual, Delhi,10.47,17.52 Km/l,1197 cc
Hyundai,Venue N-Line,SUV5,N6,Petrol,Manual, Delhi,14.15,20.00 Km/l,998 cc
Hyundai,Tucson,SUV5,2.0 Platinum AT Petrol,Petrol,Automatic, Delhi,34.12,12.50 Km/l,1999 cc
Hyundai,Exter,SUV5,1.2 EX(O),Petrol,Manual, Delhi,7.55,19.40 Km/l,1197 cc
Hyundai,Verna,Sedan5,1.5 S,Petrol,Manual, Delhi,14.2,25.00 Km/l,1497 cc
Hyundai,i20,Hatchback5,1.2 Asta,Petrol,Manual, Delhi,10.68,20.35 Km/l,1197 cc
Hyundai,Creta N Line,SUV5,N8,Petrol,Manual, Delhi,19.72,18.00 Km/l,1482 cc
Hyundai,IONIQ 5,SUV5,RWD,Electric,Automatic, Delhi,47.72,631.00 Km/full charge,72600 watt
Hyundai,Creta Electric,SUV5,Executive,Electric,Automatic, Delhi,19.12,390.00 Km/full charge,42000 watt
Hyundai,Alcazar,SUV7,Executive,Petrol,Manual, Delhi,17.67,18.00 Km/l,1482 cc
Hyundai,Creta (2023-2024),SUV5,1.5 SX Executive Diesel,Diesel,Manual, Delhi,18.43,17.00 Km/l,1497 cc
Hyundai,Alcazar (2021-2023),SUV6,1.5 Platinum 7 STR Diesel,Diesel,Manual, Delhi,23.04,14.50 Km/l,1999 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Era,Petrol,Manual, Faridabad,6.67,18.00 Km/l,1197 cc
Hyundai,Aura,Sedan5,1.2 S CNG,CNG,Manual, Faridabad,9.48,21.00 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 E,Petrol,Manual, Faridabad,12.57,17.40 Km/l,1497 cc
Hyundai,Venue N-Line,SUV5,N6,Petrol,Manual, Faridabad,13.72,20.00 Km/l,998 cc
Hyundai,Venue,SUV5,1.2 S,Petrol,Manual, Faridabad,10.4,17.52 Km/l,1197 cc
Hyundai,Tucson,SUV5,2.0 Platinum AT Petrol,Petrol,Automatic, Faridabad,33.51,12.50 Km/l,1999 cc
Hyundai,Exter,SUV5,1.2 EX(O),Petrol,Manual, Faridabad,7.48,19.40 Km/l,1197 cc
Hyundai,Verna,Sedan5,1.5 S,Petrol,Manual, Faridabad,13.7,25.00 Km/l,1497 cc
Hyundai,i20,Hatchback5,1.2 Asta,Petrol,Manual, Faridabad,10.6,20.35 Km/l,1197 cc
Hyundai,Creta N Line,SUV5,N8,Petrol,Manual, Faridabad,19.04,18.00 Km/l,1482 cc
Hyundai,i20 N Line,Hatchback5,N6,Petrol,Manual, Faridabad,11.22,20.25 Km/l,998 cc
Hyundai,IONIQ 5,SUV5,RWD,Electric,Automatic, Faridabad,48.89,631.00 Km/full charge,72600 watt
Hyundai,Alcazar,SUV7,Executive,Petrol,Manual, Faridabad,16.88,18.00 Km/l,1482 cc
Hyundai,Creta (2023-2024),SUV5,1.5 SX Executive Diesel,Diesel,Manual, Faridabad,17.67,17.00 Km/l,1497 cc
Hyundai,Alcazar (2021-2023),SUV6,1.5 Platinum 7 STR Diesel,Diesel,Manual, Faridabad,22.21,14.50 Km/l,1999 cc
Hyundai,Alcazar (2023-2024),SUV6,1.5 Platinum(O) AT 7 STR Diesel,Diesel,Automatic, Faridabad,23.89,14.50 Km/l,1999 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Era,Petrol,Manual, Ghaziabad,6.84,18.00 Km/l,1197 cc
Hyundai,Aura,Sedan5,1.2 SX,Petrol,Manual, Ghaziabad,9.23,21.00 Km/l,1197 cc
